product_name	category	quantity	price	customer_id	store_id
Toaster	Kitchen	1	29.99	CUST0403	STORE13
Water Bottle	Sports	1	12.99	CUST0404	STORE14
Magazine	Books	3	6.99	CUST0405	STORE15
Smartphone	Electronics	1	399.99	CUST0406	STORE16
Sneakers	Clothing	1	89.99	CUST0407	STORE17
Coffee Mug	Kitchen	4	9.99	CUST0408	STORE18
Tennis Racket	Sports	1	39.99	CUST0409	STORE19
Dictionary	Books	1	19.99	CUST0410	STORE20
Tablet	Electronics	1	599.99	CUST0411	STORE16
Sweater	Clothing	1	34.99	CUST0412	STORE17
Dinner Set	Kitchen	1	39.99	CUST0413	STORE18
Dumbbell Set	Sports	1	49.99	CUST0414	STORE19
Textbook	Books	1	49.99	CUST0415	STORE20
Headphones	Electronics	1	299.99	CUST0416	STORE16
Shorts	Clothing	2	34.99	CUST0417	STORE17
Kitchen Knife Set	Kitchen	1	49.99	CUST0418	STORE18
Fitness Tracker	Sports	1	49.99	CUST0419	STORE19
Novel	Books	1	9.99	CUST0420	STORE20
Smart Watch	Electronics	1	399.99	CUST0421	STORE16
T-Shirt	Clothing	3	24.99	CUST0422	STORE17
Coffee Maker	Kitchen	1	89.99	CUST0423	STORE18
Running Shoes	Sports	1	119.99	CUST0424	STORE19
Cookbook	Books	1	29.99	CUST0425	STORE20
Wireless Earbuds	Electronics	1	49.99	CUST0426	STORE01
Jeans	Clothing	1	59.99	CUST0427	STORE02
Blender	Kitchen	1	69.99	CUST0428	STORE03
Yoga Mat	Sports	1	29.99	CUST0429	STORE04
Magazine	Books	2	4.99	CUST0430	STORE05
Gaming Console	Electronics	1	499.99	CUST0431	STORE01
Dress	Clothing	1	49.99	CUST0432	STORE02
Microwave	Kitchen	1	129.99	CUST0433	STORE03
Basketball	Sports	1	29.99	CUST0434	STORE04
Dictionary	Books	1	24.99	CUST0435	STORE05
TV	Electronics	1	1499.99	CUST0436	STORE01
Jacket	Clothing	1	89.99	CUST0437	STORE02
Toaster	Kitchen	1	49.99	CUST0438	STORE03
Water Bottle	Sports	2	18.99	CUST0439	STORE04
Textbook	Books	1	129.99	CUST0440	STORE05
Laptop	Electronics	1	899.99	CUST0441	STORE01
Sneakers	Clothing	1	159.99	CUST0442	STORE02
Coffee Mug	Kitchen	2	12.99	CUST0443	STORE03
Tennis Racket	Sports	1	79.99	CUST0444	STORE04
Novel	Books	3	12.99	CUST0445	STORE05
Smartphone	Electronics	1	599.99	CUST0446	STORE01
Sweater	Clothing	1	54.99	CUST0447	STORE02
Dinner Set	Kitchen	1	69.99	CUST0448	STORE03
Dumbbell Set	Sports	1	89.99	CUST0449	STORE04
Cookbook	Books	1	19.99	CUST0450	STORE05
Tablet	Electronics	1	249.99	CUST0451	STORE06
Shorts	Clothing	3	24.99	CUST0452	STORE07
Kitchen Knife Set	Kitchen	1	89.99	CUST0453	STORE08
Fitness Tracker	Sports	1	99.99	CUST0454	STORE09
Magazine	Books	4	6.99	CUST0455	STORE10
Headphones	Electronics	1	79.99	CUST0456	STORE06
T-Shirt	Clothing	2	19.99	CUST0457	STORE07
Coffee Maker	Kitchen	1	149.99	CUST0458	STORE08
Running Shoes	Sports	1	159.99	CUST0459	STORE09
Dictionary	Books	1	14.99	CUST0460	STORE10
Smart Watch	Electronics	1	199.99	CUST0461	STORE06
Jeans	Clothing	2	79.99	CUST0462	STORE07
Blender	Kitchen	1	99.99	CUST0463	STORE08
Yoga Mat	Sports	1	39.99	CUST0464	STORE09
Textbook	Books	1	89.99	CUST0465	STORE10
Wireless Earbuds	Electronics	1	199.99	CUST0466	STORE06
Dress	Clothing	1	29.99	CUST0467	STORE07
Microwave	Kitchen	1	199.99	CUST0468	STORE08
Basketball	Sports	1	39.99	CUST0469	STORE09
Novel	Books	2	16.99	CUST0470	STORE10
Gaming Console	Electronics	1	299.99	CUST0471	STORE06
Jacket	Clothing	1	129.99	CUST0472	STORE07
Toaster	Kitchen	1	79.99	CUST0473	STORE08
Water Bottle	Sports	1	24.99	CUST0474	STORE09
Cookbook	Books	1	24.99	CUST0475	STORE10
TV	Electronics	1	699.99	CUST0476	STORE11
Sneakers	Clothing	1	59.99	CUST0477	STORE12
Coffee Mug	Kitchen	6	15.99	CUST0478	STORE13
Tennis Racket	Sports	1	119.99	CUST0479	STORE14
Magazine	Books	3	4.99	CUST0480	STORE15
Laptop	Electronics	1	1299.99	CUST0481	STORE11
Sweater	Clothing	1	74.99	CUST0482	STORE12
Dinner Set	Kitchen	1	99.99	CUST0483	STORE13
Dumbbell Set	Sports	1	149.99	CUST0484	STORE14
Dictionary	Books	1	19.99	CUST0485	STORE15
Smartphone	Electronics	1	799.99	CUST0486	STORE11
Shorts	Clothing	2	34.99	CUST0487	STORE12
Kitchen Knife Set	Kitchen	1	129.99	CUST0488	STORE13
Fitness Tracker	Sports	1	149.99	CUST0489	STORE14
Textbook	Books	1	49.99	CUST0490	STORE15
Tablet	Electronics	1	399.99	CUST0491	STORE11
T-Shirt	Clothing	3	29.99	CUST0492	STORE12
Coffee Maker	Kitchen	1	49.99	CUST0493	STORE13
Running Shoes	Sports	1	79.99	CUST0494	STORE14
Novel	Books	1	12.99	CUST0495	STORE15
Headphones	Electronics	1	149.99	CUST0496	STORE16
Jeans	Clothing	1	39.99	CUST0497	STORE17
Blender	Kitchen	1	39.99	CUST0498	STORE18
Yoga Mat	Sports	1	19.99	CUST0499	STORE19
Cookbook	Books	1	29.99	CUST0500	STORE20
